Komentar Pengguna;Kategori;Label
bahkan chatgpt aja ngelag anjir gue suruh ngerjain karya ilmiah ?? emang boni sialan;Reliability;Negatif
ChatGPT sama membantu sekaliiiiiii anjeeeng;Usability;Positif
Bikin landing page gasampe 5mnt dengan bantuan Chat GPT ??;Efficiency;Positif
ah, bener juga make chatGPT buat bikin mock quiz sebagai alat bantu belajar ??;Functionality;Positif
gila si chat gpt bener bener bisa nyelesaiin semua masalah, enak bgt cok! tapi gw jadi bego;Usability;Positif
chat gpt sangat membantu untuk bnrin code selain stack overflow, tp ttp cinta stack overflow;Functionality;Positif
Seru juga chattingan sama chatgpt;Usability;Positif
Chatgpt makin lambat akwkwk;Reliability;Negatif
Kaku banget ah API ChatGPT, pantes lebih murah. Aku stay di Davinci aja pake completion.;Usability;Negatif
"Saya sudah melakukan research bahwa chatgpt diawal bagus tapi diakhir menjadi masalah terus menerus.apalagi saya dan team lagi menciptakan yang berbeda utk  pencegahaan dan aman 

https://t.co/PL88RFCSpI";Reliability;Negatif
ternyata ChatGPT blm bisa dijadiin konsultan pajak ges. bikin stres doang konsul sama ChatGPT soal PPh 21 :(;Functionality;Negatif
"Pernah iseng TO full pake chatgpt

Masih lebih gede TO paling awal gw (kondisi masih super t*l*l)?? ini bot soalan matematika aja masih suka salah, akurasinya rendah, pengolahan data kalo kita ga kasih aturan yang rinci, dia bakal olah data sesuai kemauan dia.";Functionality;Negatif
ChatGPT sangat membantu menyelesaikan error'2 tugas2 kodingan gw ???? makasih byk wkwkwkwk;Functionality;Positif
chat gpt sakti bener, jawab soal + pertanyaan temen pas presentasi jadi kerasa lebih mudah;Functionality;Positif
gila ChatGPT, bisa buat schedule dengan kriteria yang sudah ditentukan ??????;Functionality;Positif
Chatgpt lancarnya jam segini njir ?? giliran gue skripsian malem malah unavailable. Ini emg diharuskan ngerjain subuh ya ??;Reliability;Negatif
chatgpt benar-benar membantu ?? https://t.co/F4FtFP28kr;Usability;Positif
Masa ya nyari paper di chatgpt terus dia ngasih suggestion lengkap sama nama dan di publish di conference apa, pas dicari di google gak nemu sama sekali paper terkait dan asal author nya dari mana. Kepo deh cara chatgpt generate respon gimana;Functionality;Negatif
"Sebuah konspirasi ??
ChatGPT error, sudah beberapa hari tidak bisa di akses, jawaban selalu sama, dan terakhir mendadak menjadi 1 bahasa
Kebetulan kah?";Reliability;Negatif
ayo semua pelan2 belajar baca jurnal. jgn mentang2 ada chatgpt bisa digampangin gt aja, dosen2 gw 60% udh pada tau fenomena openAI jd ngewajibin jwbn pke jurnal. bisa sih minta ke gpt utk cantumin sumber jurnalnya, cmn kdg yg dikasi ga kredibel alias link bodong/sitasi gbs dibuka;Functionality;Negatif
entah kenapa bayak orang yg ngomongin tentang CHAT GPT tapi emang bener guna banget buat nugas;Functionality;Positif
